id;matchweek_id;datetime;stadium_id;club_id_home;club_id_away;goals_home;goals_away;goals_home_11m;goals_away_11m;goals_home_rated;goals_away_rated;rated_note;cancelled;note;published;rescheduled_from_fixture_id;rescheduled_by_club;reschedule_reason;reschedule_count
2480;359;;22;1;12;;;;;0;2;;0;1. Abs.: Dritte, Wertung 9.1;1;;;;0
2481;359;2017-03-10 20:15:00;5;44;50;3;3;;;;;;0;;1;;;;0
2482;359;2017-03-10 20:15:00;4;4;9;2;5;;;;;;0;;1;;;;0
2483;359;2017-03-10 20:30:00;11;16;2;1;1;;;;;;0;;1;;;;0
2484;359;2017-03-10 20:15:00;12;15;47;3;3;;;;;;0;;1;;;;0
2485;359;2017-03-11 17:00:00;12;68;8;1;4;;;;;;0;;1;;;;0
2486;360;2017-04-10 19:30:00;20;8;47;2;1;;;;;;0;;1;;;;0
2487;360;2017-03-15 21:00:00;16;12;4;0;4;;;;;;0;;1;;;;0
2488;360;2017-03-15 21:00:00;4;9;2;0;7;;;;;;0;;1;;;;0
2489;360;2017-10-27 20:15:00;11;16;68;;;;;;;;0;;1;;;;0
2490;360;2017-03-17 20:30:00;12;15;44;2;2;;;;;;0;;1;;;;0
2491;360;2017-06-17 15:30:00;21;50;1;9;4;;;;;;0;1. Abs.: Hochdahl;1;;;;0
2492;361;2017-03-20 19:30:00;20;8;15;5;1;;;;;;0;;1;;;;0
2493;361;2017-03-22 21:00:00;16;12;2;0;4;;;;;;0;;1;;;;0
2494;361;2017-03-24 20:15:00;22;1;44;0;6;;;;;;0;;1;;;;0
2495;361;2017-03-24 20:15:00;4;4;50;1;1;;;;;;0;;1;;;;0
2496;361;2017-03-24 20:30:00;18;47;16;0;4;;;;;;0;;1;;;;0
2497;361;2017-07-21 20:00:00;12;68;9;;;;;2;0;;0;Satzung 4.3;1;;;;0
2498;362;2017-04-26 21:00:00;16;12;68;2;4;;;;;;0;;1;;;;0
2499;362;2017-03-31 20:15:00;22;1;15;1;3;;;;;;0;;1;;;;0
2500;362;2017-03-31 20:15:00;5;44;4;4;2;;;;;;0;;1;;;;0
2501;362;2017-08-18 20:30:00;18;9;47;;;;;;;;0;1. Abs.: A-Team, 2.Abs.: Hamm;1;;;;0
2502;362;2017-08-25 20:15:00;11;16;8;;;;;;;;0;1. Abs.: Lot jonn;1;;;;0
2503;362;2017-04-01 17:00:00;21;50;2;1;4;;;;;;0;;1;;;;0
2504;363;2017-04-05 19:30:00;20;8;9;8;1;;;;;;0;;1;;;;0
2505;363;2017-07-21 20:15:00;5;44;2;;;;;0;2;;0;1. Abs.: Zenit;1;;;;0
2506;363;;22;1;4;;;;;0;2;;0;1. Abs.: Dritte, 2. Abs.: Dritte;1;;;;0
2507;363;2017-04-07 20:30:00;12;15;16;4;5;;;;;;0;;1;;;;0
2508;363;2017-04-07 20:30:00;18;47;12;3;4;;;;;;0;;1;;;;0
2509;363;2017-04-22 16:30:00;12;68;50;5;1;;;;;;0;;1;;;;0
2510;364;2017-05-03 21:00:00;16;12;8;0;6;;;;;;0;;1;;;;0
2511;364;2017-05-05 20:15:00;22;1;2;0;10;;;;;;0;;1;;;;0
2512;364;2017-05-05 20:15:00;5;44;68;1;3;;;;;;0;;1;;;;0
2513;364;2017-05-05 20:15:00;11;9;16;3;0;;;;;;0;Spielort beachten;1;;;;0
2514;364;2017-05-05 20:30:00;12;15;4;4;3;;;;;;0;;1;;;;0
2515;364;2017-07-21 20:30:00;18;47;50;2;4;;;;;;0;1. Abs.: A-Team;1;;;;0
2516;365;2017-05-08 19:30:00;20;8;50;4;1;;;;;;0;;1;;;;0
2517;365;2017-05-24 19:15:00;2;2;4;7;0;;;;;;0;1. Abs.: SW Bilk;1;;;;0
2518;365;2017-05-10 21:00:00;4;9;15;3;3;;;;;;0;;1;;;;0
2519;365;2017-08-07 19:30:00;5;16;12;;;;;;;;0;Spielabbruch wg. Unwetters;1;;;;0
2520;365;2017-05-10 19:45:00;7;47;44;3;3;;;;;;0;;1;;;;0
2521;365;2017-05-13 17:00:00;12;68;1;4;1;;;;;;0;;1;;;;0
2522;366;2017-05-17 19:15:00;2;2;15;3;0;;;;;;0;;1;;;;0
2523;366;2017-05-17 21:00:00;16;12;9;1;2;;;;;;0;;1;;;;0
2524;366;2017-05-19 20:15:00;22;1;47;3;4;;;;;;0;;1;;;;0
2525;366;2017-05-19 20:15:00;5;44;8;0;4;;;;;;0;;1;;;;0
2526;366;2017-10-06 20:15:00;4;4;68;;;;;;;;0;1. Abs.: Bootsmann;1;;;;0
2527;366;2017-07-28 20:15:00;11;50;16;0;2;;;;;;0;;1;;;;0
2528;367;2017-05-29 19:30:00;20;8;1;10;1;;;;;;0;;1;;;;0
2529;367;2017-05-31 21:00:00;4;9;50;2;2;;;;;;0;;1;;;;0
2530;367;2017-06-02 20:15:00;11;16;44;5;0;;;;;;0;;1;;;;0
2531;367;2017-08-04 20:30:00;12;15;12;;;;;;;;0;;1;;;;0
2532;367;2017-06-02 20:30:00;18;47;4;6;1;;;;;;0;;1;;;;0
2533;367;2017-05-31 19:15:00;2;2;68;4;0;;;;;;0;;1;;;;0
2534;368;2017-06-07 19:15:00;2;2;47;;;;;2;0;;0;;1;;;;0
2535;368;2017-06-09 20:15:00;22;1;16;2;4;;;;;;0;;1;;;;0
2536;368;2017-06-09 20:15:00;5;44;9;1;6;;;;;;0;;1;;;;0
2537;368;2017-06-09 20:15:00;4;4;8;1;1;;;;;;0;;1;;;;0
2538;368;2017-06-09 20:30:00;12;15;68;2;1;;;;;;0;;1;;;;0
2539;368;2017-07-15 15:30:00;21;50;12;2;0;;;;;;0;1. Abs.: United;1;;;;0
2540;369;2017-10-25 19:15:00;2;2;8;;;;;;;;0;Verlegt wg. Platzsperre;1;;;;0
2541;369;2017-08-16 21:00:00;16;12;44;;;;;;;;0;1. Abs.: Zenit;1;;;;0
2542;369;2017-06-21 21:00:00;4;9;1;6;1;;;;;;0;;1;;;;0
2543;369;2017-08-18 20:15:00;11;16;4;;;;;;;;0;;1;;;;0
2544;369;2017-06-21 19:45:00;7;47;68;7;2;;;;;;0;;1;;;;0
2545;369;2017-08-18 20:30:00;12;50;15;;;;;;;;0;1. Abs.: Rakete;1;;;;0
2546;370;2017-06-26 19:30:00;20;8;68;1;3;;;;;;0;;1;;;;0
2547;370;2017-06-28 19:15:00;2;2;16;7;1;;;;;;0;;1;;;;0
2548;370;2017-06-28 21:00:00;16;12;1;2;1;;;;;;0;;1;;;;0
2549;370;2017-06-28 21:00:00;4;9;4;5;1;;;;;;0;;1;;;;0
2550;370;2017-06-30 20:30:00;18;47;15;5;2;;;;;;0;;1;;;;0
2551;370;2017-08-25 20:30:00;21;50;44;;;;;;;;0;1. Abs.: Hochdahl;1;;;;0
2552;371;2017-07-05 19:15:00;2;2;9;4;1;;;;;;0;;1;;;;0
2553;371;2017-07-07 20:15:00;22;1;50;8;5;;;;;;0;;1;;;;0
2554;371;2017-07-07 20:15:00;5;44;15;3;1;;;;;;0;;1;;;;0
2555;371;2017-11-03 20:15:00;4;4;12;;;;;;;;0;Verlegt wg. Sparta-Umbau;1;;;;0
2556;371;2017-07-07 20:30:00;18;47;8;1;5;;;;;;0;;1;;;;0
2557;371;2017-07-08 16:30:00;12;68;16;4;2;;;;;;0;;1;;;;0
2558;372;2017-07-19 19:15:00;2;2;12;2;2;;;;;;0;;1;;;;0
2559;372;2017-07-14 20:15:00;5;44;1;3;6;;;;;;0;;1;;;;0
2560;372;2017-07-12 21:00:00;4;9;68;1;3;;;;;;0;;1;;;;0
2561;372;2017-07-14 20:15:00;11;16;47;3;1;;;;;;0;;1;;;;0
2562;372;2017-07-14 20:30:00;12;15;8;0;4;;;;;;0;;1;;;;0
2563;372;2017-09-02 15:30:00;21;50;4;;;;;;;;0;;1;;;;0
2564;373;2017-09-04 19:30:00;20;8;16;;;;;;;;0;;1;;;;0
2565;373;2017-09-06 19:15:00;2;2;50;;;;;;;;0;;1;;;;0
2566;373;2017-10-27 20:15:00;4;4;44;;;;;;;;0;Wegen Umbau auf 27. verlegt;1;;;;0
2567;373;2017-09-08 20:30:00;12;15;1;;;;;;;;0;;1;;;;0
2568;373;2017-09-08 20:30:00;18;47;9;;;;;;;;0;;1;;;;0
2569;373;2017-09-09 16:30:00;12;68;12;;;;;;;;0;;1;;;;0
2570;374;2017-09-13 19:15:00;2;2;44;;;;;;;;0;;1;;;;0
2571;374;2017-09-13 21:00:00;16;12;47;;;;;;;;0;;1;;;;0
2572;374;2017-09-15 20:15:00;4;4;1;;;;;;;;0;;1;;;;0
2573;374;2017-09-13 21:00:00;4;9;8;;;;;;;;0;;1;;;;0
2574;374;2017-09-15 20:15:00;11;16;15;;;;;;;;0;;1;;;;0
2575;374;2017-09-16 15:30:00;21;50;68;;;;;;;;0;;1;;;;0
2576;375;2017-09-18 19:30:00;20;8;12;;;;;;;;0;;1;;;;0
2577;375;2017-09-20 19:15:00;2;2;1;;;;;;;;0;;1;;;;0
2578;375;2017-09-22 20:15:00;4;4;15;;;;;;;;0;;1;;;;0
2579;375;2017-09-22 20:15:00;11;16;9;;;;;;;;0;;1;;;;0
2580;375;2017-09-23 15:30:00;21;50;47;;;;;;;;0;;1;;;;0
2581;375;2017-09-02 16:30:00;12;68;44;;;;;;;;0;;1;;;;0
2582;376;2017-09-27 21:00:00;16;12;16;;;;;;;;0;;1;;;;0
2583;376;2017-09-29 20:15:00;22;1;68;;;;;;;;0;;1;;;;0
2584;376;2017-09-29 20:15:00;5;44;47;;;;;;;;0;;1;;;;0
2585;376;2017-09-27 19:15:00;2;2;4;;;;;;;;0;;1;;;;0
2586;376;2017-09-29 20:30:00;12;15;9;;;;;;;;0;;1;;;;0
2587;376;2017-09-30 15:30:00;21;50;8;;;;;;;;0;;1;;;;0
2588;377;2017-10-09 19:30:00;20;8;44;;;;;;;;0;;1;;;;0
2589;377;2017-10-11 21:00:00;4;9;12;;;;;;;;0;;1;;;;0
2590;377;2017-10-13 20:15:00;11;16;50;;;;;;;;0;;1;;;;0
2591;377;2017-10-13 20:30:00;12;15;2;;;;;;;;0;;1;;;;0
2592;377;2017-10-13 20:30:00;18;47;1;;;;;;;;0;;1;;;;0
2593;377;2017-10-14 16:30:00;12;68;4;;;;;;;;0;;1;;;;0
2594;378;2017-10-21 16:30:00;12;68;2;;;;;;;;0;;1;;;;0
2595;378;2017-10-18 21:00:00;16;12;15;;;;;;;;0;;1;;;;0
2596;378;2017-10-20 20:15:00;22;1;8;;;;;;;;0;;1;;;;0
2597;378;2017-10-06 20:15:00;5;44;16;;;;;;;;0;;1;;;;0
2598;378;2017-10-20 20:15:00;4;4;47;;;;;;;;0;;1;;;;0
